t,angle
8.2,-64.1612684739841
8.25,-67.5862019358874
8.3,-69.134915728645
8.35,-62.3126760701345
8.4,-52.7138107370282
8.45,-38.0367930930938
8.5,-20.3816951376613
8.55,0.853247515131057
8.6,20.0037140068025
8.65,38.7075654212465
8.7,52.9140423308169
8.75,63.2145536893793
8.8,68.9899741812896
8.85,68.0259994246125
8.9,62.171472198413
8.95,52.1351684871368
9,36.7133709054962
9.05,19.0325914315189
9.1,0.34745416331822
9.15,-20.7960101645424
9.2,-37.5554369656606
9.25,-53.798355255373
9.3,-62.5852895943333
9.35,-69.1250822929811
9.4,-68.2316765975695
9.45,-62.004294371317
9.5,-51.8826239890851
9.55,-37.84555474754
9.6,-18.1892615297084
9.65,1.07496716711824
9.7,20.6281648535927
9.75,38.6225919138076
9.8,52.7799872983595
9.85,63.0521740059896
9.9,67.3935562444023
9.95,68.0610453649066
10,62.1044892542694
10.05,52.0109112075641
10.1,36.3437296222191
10.15,17.8822917200267
10.2,-0.93983870699181
10.25,-22.1914093457024
10.3,-38.4932244189838
10.35,-52.4762700134013
10.4,-62.3081330470951
10.45,-67.3290136173331
10.5,-67.6623251542458
10.55,-60.9790436105296
10.6,-50.071491361643
10.65,-35.5714080953137
10.7,-17.1252212707984
10.75,2.09786766147907
10.8,21.3466521153427
10.85,40.150607228013
10.9,53.8827504510967
10.95,64.0114353686486
11,68.3669843312738
11.05,66.5549467144673
11.1,61.9086286186214
11.15,51.0602942011992
11.2,34.4143334157777
11.25,17.5306799626182
11.3,-4.1711177118608
11.35,-22.2068319789177
11.4,-40.8468813709972
11.45,-53.8665007407247
11.5,-63.3364721235024
11.55,-68.3972647284045
11.6,-66.6180024014703
11.65,-60.078421856587
11.7,-50.2787694130642
11.75,-35.1742780435635
11.8,-15.9393026651539
11.85,4.89873978460792
11.9,24.0985966116091
11.95,41.451227184295
12,55.2801296920942
12.05,63.6848442704112
12.1,66.5798883480836
12.15,66.7291657462866
12.2,59.0805856927258
12.25,48.3031895594004
12.3,33.0065926088222
12.35,15.1177068134082
12.4,-5.50569485594119
12.45,-24.2242970384677
12.5,-41.379195583892
12.55,-55.4327554486709
12.6,-64.0097135929656
12.65,-67.6331982586197
12.7,-65.7196858695747
12.75,-58.6719854249093
12.8,-48.1523013584554
12.85,-32.739581877809
12.9,-13.1957357514383
12.95,5.96136580380053
13,25.9271795316179
13.05,42.1173059941463
13.1,54.9919710028766
13.15,63.8273879086596
13.2,66.4946164648209
13.25,66.4331146403911
13.3,57.7616468175907
13.35,47.1940580916522
13.4,31.5504650213264
13.45,12.1964892967355
13.5,-8.0251725630174
13.55,-26.5432891228723
13.6,-43.2108210685274
13.65,-56.246150605434
13.7,-63.3027938917206
13.75,-68.1792192136975
13.8,-65.0084316874261
13.85,-58.5505492525644
13.9,-44.7895118036449
13.95,-30.3709709803657
14,-11.4950340454595
14.05,8.12058367108244
14.1,28.3268479730108
14.15,43.8918949071021
14.2,57.5692502721939
14.25,64.7596088418845
14.3,67.7989780267415
14.35,65.1330086794677
14.4,56.4187444119232
14.45,45.3829596746428
14.5,28.7025062181727
14.55,10.2554872201843
14.6,-10.5236539661349
14.65,-30.0141636155728
14.7,-44.8586227919173
14.75,-56.4920425531272
14.8,-65.2496167265983
14.85,-66.7759417874429
14.9,-63.9606254644277
14.95,-55.4129196073669
15,-43.3035898998584
15.05,-27.4457945643522
15.1,-8.39898200648813
15.15,11.5378334401479
15.2,31.3481379376162
15.25,45.5677912385423
15.3,57.4631957109286
15.35,63.890327924471
15.4,66.9474454004401
15.45,62.3758610719659
15.5,55.1017882109283
15.55,41.450292614323
15.6,24.3375014456131
15.65,6.51789025379114
15.7,-13.7034750804736
15.75,-31.3994363895538
15.8,-46.5494644713112
15.85,-58.3863860305697
15.9,-65.4678120522146
15.95,-67.0159178026584
16,-61.4344157645657
16.05,-54.4393960397268
16.1,-39.7114376169284
16.15,-22.3183392466193
16.2,-3.77600128724377
16.25,15.0137752789347
16.3,32.5301314957311
16.35,48.5728997259911
16.4,58.5879928882841
16.45,65.2747100781532
16.5,65.7845745853533
16.55,61.9796316153395
16.6,52.2727267754736
16.65,37.8168705292466
16.7,21.1354763547241
16.75,1.39946216029661
16.8,-16.5816291819316
16.85,-34.9581671628238
16.9,-50.4762731410401
16.95,-58.915570144274
17,-65.8491734959877
17.05,-64.8365370375206
17.1,-59.8864287246352
17.15,-50.367881711587
17.2,-36.7003465863781
17.25,-18.4298919030788
17.3,-0.351619596110292
17.35,20.0583896176052
17.4,37.0208263381553
17.45,50.2546924412812
17.5,60.7533461892082
17.55,64.9429403709368
17.6,65.4709660558404
17.65,60.2091515511039
17.7,49.2706035845615
17.75,35.1435343760114
17.8,18.0202143141566
17.85,-2.17457565097171
17.9,-20.731789369107
17.95,-37.4379601235889
18,-51.0203336679678
18.05,-60.6822218479933
18.1,-65.7193784000486
18.15,-64.1632048139457
18.2,-59.1347870591431
18.25,-47.2385175414085
18.3,-32.804074167118
18.35,-15.9548994548597
18.4,5.00987878985781
18.45,23.2143988438725
18.5,40.0242403293524
18.55,53.9209861031867
18.6,62.0129169179279
18.65,65.4526139839828
18.7,63.835320472826
18.75,58.2364818426992
18.8,45.4946664344187
18.85,31.1429403933388
18.9,12.7984356471828
18.95,-5.59888852187119
19,-24.4896154903086
19.05,-41.2276951402608
19.1,-53.3331660473513
19.15,-62.7569009258131
19.2,-64.9639842608244
19.25,-63.555299489662
19.3,-55.9647402151968
19.35,-44.8293640977025
19.4,-29.0712071225144
19.45,-10.3890214679853
19.5,8.04541541218429
19.55,28.0724815102072
19.6,43.6554490741656
19.65,55.1412657634453
19.7,63.076007447588
19.75,64.4464273319349
19.8,62.4118105105946
19.85,55.1575647240085
19.9,42.9738526832282
19.95,26.3572922905468
20,8.25375080239473
20.05,-10.6801979720902
20.1,-30.5716660309294
20.15,-44.3296167027829
